,G1.S,S,G2,G2.M,M.G1
101,PCNA,MLF1IP,LOC441052,KIAA0182,PRC1
102,PCNAP1,MYCBP2,LOC645739,KIAA0889,PRR16
103,PDXP,MZF1,LTBP3,KIF14,PSEN1
104,PLCXD1,NAB1,MAD2L1,KIF20B,PTMS
105,PMS1,NEAT1,MALAT1,KIF2C,PTTG1
106,PNN,NFE2L2,MELK,KIF5B,RAB3A
107,POLD3,NRD1,MEPCE,KLF9,RAD21
108,RAB23,NSUN3,MET,KLHDC9,RAN
109,RECQL4,NT5DC1,MGAT2,LBR,RHEB
110,RMI2,NUP160,MID1,LMNA,RPL13A
111,RNF113A,OGT,MIS18BP1,LPP,SLC39A10
112,RNPC3,ORC3,MND1,LRRC17,SNUPN
113,RUNX1,OSGIN2,MUC1,MAPK13,SRSF3
114,SDC1,PHIP,NBPF10,MATN2,ST5
115,SEC62,PHOSPHO2,NCAPD3,MCM4,STAG1
116,SERPINB3,PHTF1,NCAPH,MDC1,SYNCRIP
117,SKP2,PHTF2,NCOA5,ME3,TAF9
118,SLBP,PILRB,NDC80,MIS18BP1,TCERG1
119,SLC25A27,PKMYT1,NEIL3,MKI67,TICAM2
120,SLC25A36,POLA1,NFIC,MLLT4,TLE3
121,SNHG10,PRIM1,NIPBL,MZT1,TMEM138
122,SPIN3,PRIM2,NLRP2,NCAPD2,TMEM140
123,SPIN4,PTAR1,NMB,NCOA5,TOB2
124,SRSF7,RAD18,NNMT,NDE1,TOP1
125,SSR3,RAD51,NR3C1,NEK2,TROAP
126,TAF15,RAD51AP1,NUCKS1,NR5A2,TSC22D1
127,TIPIN,RAD54L,NUMA1,NUF2,TULP4
128,TOPBP1,RBBP8,NUSAP1,NUP35,UBE2D3
129,TRA2A,REEP1,PIF1,NUP98,UBE2S
130,TREX1,RFC2,PKNOX1,NUSAP1,USP6NL
131,TRIM45,RHOBTB3,POLQ,ODF2,VANGL1
132,TTC14,RHPN1,PPP1R2,OIT3,VCL
133,UBR7,RMI1,PSMD11,OLR1,VPS37C
134,UHRF1,RPA2,PSRC1,ORAOV1,WIPF2
135,UNG,RRM1,RANGAP1,PAK6,WWC1
136,UQCC,RRM2,RCCD1,PBK,XPO4
137,USP53,RSRC2,RDH11,PCF11,YY1
138,VPS72,SAP30BP,RGS3,PHF15,ZBTB7A
139,WDR76,SH3GL2,RNF141,PIK3CD,ZCCHC10
140,WDR90,SHC1,SAP30,PLAG1,ZNF24
141,ZMYND19,SLC22A3,SGCD,PLK1,ZNF281
142,ZNF141,SLC25A27,SKA3,POC1A,ZNF593
143,ZNF367,SLC38A2,SMC4,POM121,ZNF98
144,ZNF414,SP1,SORL1,PPP1R10,ZNFX1
145,ZNF852,SRSF10,SRGAP2P1,PRPSAP1,ZNFX1-AS1
146,ZRANB2,SRSF5,STAT1,PRR11,ZPBP
147,,STAG3L1,STAT5B,PRR5,ZSCAN5A
148,,SVIP,STIL,PSMG3,
149,,TMCC1,STK17B,PTGER3,
150,,TOP2A,SUCLG2,PTP4A1,
151,,TRIM45,SV2B,PTPN9,
152,,TRIM73,TFAP2A,PWP1,
153,,TTC31,TIMP1,QRICH1,
154,,TTLL7,TMEM99,RAD51C,
155,,TYMS,TMPO,RANGAP1,
156,,UBE2T,TNPO2,RASGEF1A,
157,,UBL3,TOP2A,RBM8A,
158,,USP1,TRAIP,RCAN1,
159,,ZBED5,TRIM59,RCBTB2,
160,,ZNF217,TRIM69,RERE,
161,,ZWINT,TRMT2A,RNF126,
162,,,TTC38,RNF141,
163,,,TTF2,RNPS1,
164,,,TUBA1A,RRP1,
165,,,TUBA4A,SEPHS1,
166,,,TUBB,SEPN1,
167,,,TUBB2A,SETD8,
168,,,TUBB4B,SFPQ,
169,,,TUBD1,SGOL2,
170,,,TYSND1,SHCBP1,
171,,,UACA,SLC17A2,
172,,,UBE2C,SLC44A2,
173,,,UBXN11,SMARCB1,
174,,,UNC5CL,SMARCD1,
175,,,VPS25,SMTN,
176,,,VTA1,SPAG5,
177,,,WDR62,SPTBN1,
